;filename;phenotype
0;CN-CP615_G22_T0001F024L01A01Z01C01_056.png;0.0
1;CN-CP614_K10_T0001F023L01A01Z01C01_027.png;0.0
2;CN-CP613_N11_T0001F009L01A01Z01C01_071.png;1.0
3;CN-CP615_D08_T0001F002L01A01Z01C01_028.png;0.0
4;CN-CP612_C16_T0001F035L01A01Z01C01_032.png;1.0
5;CN-CP612_G05_T0001F009L01A01Z01C01_026.png;0.0
6;CN-CP615_J11_T0001F029L01A01Z01C01_032.png;0.0
7;CN-CP616_C09_T0001F022L01A01Z01C01_139.png;0.0
8;CN-CP616_M23_T0001F030L01A01Z01C01_096.png;1.0
9;CN-CP612_C04_T0001F008L01A01Z01C01_138.png;1.0
10;CN-CP614_H13_T0001F017L01A01Z01C01_036.png;0.0
11;CN-CP611_L05_T0001F034L01A01Z01C01_019.png;1.0
12;CN-CP613_J02_T0001F023L01A01Z01C01_127.png;0.0
13;CN-CP612_E14_T0001F010L01A01Z01C01_074.png;1.0
14;CN-CP615_I05_T0001F010L01A01Z01C01_090.png;0.0
15;CN-CP614_C22_T0001F035L01A01Z01C01_029.png;0.0
16;CN-CP614_K06_T0001F036L01A01Z01C01_027.png;0.0
17;CN-CP615_L11_T0001F015L01A01Z01C01_019.png;0.0
18;CN-CP615_K15_T0001F022L01A01Z01C01_100.png;1.0
19;CN-CP615_I17_T0001F017L01A01Z01C01_072.png;0.0
20;CN-CP615_F19_T0001F005L01A01Z01C01_030.png;1.0
21;CN-CP616_K18_T0001F024L01A01Z01C01_118.png;0.0
22;CN-CP614_K13_T0001F012L01A01Z01C01_095.png;0.0
23;CN-CP611_N05_T0001F004L01A01Z01C01_091.png;1.0
24;CN-CP613_L13_T0001F023L01A01Z01C01_065.png;0.0
25;CN-CP613_J07_T0001F013L01A01Z01C01_163.png;0.0
26;CN-CP611_F22_T0001F003L01A01Z01C01_045.png;0.0
27;CN-CP615_H13_T0001F029L01A01Z01C01_089.png;1.0
28;CN-CP611_G21_T0001F025L01A01Z01C01_060.png;4.0
29;CN-CP616_N10_T0001F024L01A01Z01C01_067.png;1.0
30;CN-CP611_M02_T0001F032L01A01Z01C01_058.png;1.0
31;CN-CP611_I22_T0001F031L01A01Z01C01_041.png;0.0
32;CN-CP615_K12_T0001F034L01A01Z01C01_012.png;0.0
33;CN-CP614_G15_T0001F027L01A01Z01C01_177.png;1.0
34;CN-CP616_F17_T0001F011L01A01Z01C01_037.png;1.0
35;CN-CP615_J06_T0001F004L01A01Z01C01_028.png;1.0
36;CN-CP616_J13_T0001F020L01A01Z01C01_079.png;1.0
37;CN-CP613_H11_T0001F019L01A01Z01C01_053.png;0.0
38;CN-CP615_J16_T0001F033L01A01Z01C01_106.png;1.0
39;CN-CP611_J13_T0001F024L01A01Z01C01_007.png;0.0
40;CN-CP613_E02_T0001F018L01A01Z01C01_047.png;0.0
41;CN-CP611_N20_T0001F026L01A01Z01C01_142.png;1.0
42;CN-CP612_H15_T0001F033L01A01Z01C01_033.png;1.0
43;CN-CP612_I12_T0001F015L01A01Z01C01_025.png;1.0
